127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000519
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000545
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000591
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000543
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000494
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000433
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000454
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000530
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000456
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000491
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000457
127.0.0.1, 2018-04-23 16:35:06, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000631
127.0.0.1, 2018-04-23 16:35:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000361
127.0.0.1, 2018-04-23 16:35:16, GET, /start/default/edit/1, HTTP/1.1, 200, 0.026276
127.0.0.1, 2018-04-23 16:35:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2018-04-23 16:35:18, POST, /start/default/edit/1, HTTP/1.1, 303, 0.028479
127.0.0.1, 2018-04-23 16:35:18, GET, /start/default/index, HTTP/1.1, 200, 0.030509
127.0.0.1, 2018-04-23 16:35:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001983
127.0.0.1, 2018-04-23 16:35:20, GET, /start/default/edit/2, HTTP/1.1, 200, 0.026221
127.0.0.1, 2018-04-23 16:35:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001083
127.0.0.1, 2018-04-23 16:35:22, POST, /start/default/edit/2, HTTP/1.1, 303, 0.025469
127.0.0.1, 2018-04-23 16:35:22, GET, /start/default/index, HTTP/1.1, 200, 0.025908
127.0.0.1, 2018-04-23 16:35:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000403
127.0.0.1, 2018-04-23 16:44:51, GET, /start/default/index, HTTP/1.1, 200, 0.038433
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001001
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000488
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000404
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000384
